"Person","Rt","Hit"
1,1670,1
1,1734,1
1,3538,1
1,2460,1
1,2802,1
1,1995,1
1,2570,1
1,2380,1
1,3992,1
1,727,1
1,1615,1
1,1342,1
1,1489,0
1,1163,1
1,1984,1
1,2094,1
1,2156,1
1,1188,1
1,1199,1
1,2410,1
1,4177,1
1,1676,1
1,1403,1
1,1189,1
1,5247,1
1,1550,1
1,1766,1
1,1821,0
1,1305,1
1,1778,1
1,1013,1
1,1080,1
1,1111,1
1,1252,1
1,1731,1
1,2894,1
1,1531,0
1,1418,1
1,1908,1
1,1547,1
2,1494,1
2,1776,1
2,1680,1
2,10375,1
2,5343,1
2,2472,1
2,3207,1
2,2239,1
2,6552,1
2,5455,1
2,3495,1
2,1944,1
2,1221,1
2,5199,1
2,3639,1
2,5760,0
2,4217,1
2,3136,1
2,3175,1
2,4200,1
2,3343,1
2,1631,1
2,11536,1
2,5480,1
2,2151,1
2,2656,1
2,2448,1
2,1935,1
2,2952,1
2,2903,1
2,7351,1
2,1600,1
2,1335,1
2,3167,1
2,2536,0
2,1048,1
2,1560,1
3,1834,0
3,2065,1
3,6151,1
3,3412,1
3,1453,1
3,2358,1
3,2448,1
3,2762,1
3,1743,1
3,1576,1
3,2816,1
3,2355,1
3,3161,1
3,1700,1
3,2318,1
3,1789,1
3,1744,1
3,4298,1
3,3057,1
3,2455,1
3,4720,1
3,6303,1
3,2073,1
3,2005,1
3,2297,1
3,1240,1
3,1993,1
3,3154,1
3,2184,1
3,2419,1
3,1985,1
3,3867,1
3,3428,1
3,1628,1
3,1988,1
3,2240,1
4,3895,1
4,1919,1
4,1816,1
4,1889,1
4,2638,1
4,2343,1
4,1792,1
4,2080,1
4,1995,1
4,2783,1
4,1583,1
4,1824,1
4,3918,1
4,1592,1
4,2892,1
4,1471,1
4,1528,1
4,2576,1
4,1652,1
4,1343,1
4,7300,1
4,4126,1
4,5501,1
4,4031,1
4,1125,1
4,4343,1
4,1343,1
4,1847,1
4,1817,1
4,4550,1
4,2703,1
4,1560,1
4,1127,1
4,2214,1
4,3006,1
4,1518,1
4,3247,1
4,1192,1
5,1602,1
5,1470,1
5,5141,1
5,1375,1
5,3357,1
5,6623,1
5,2882,1
5,1298,1
5,2915,1
5,3669,1
5,1137,1
5,1384,1
5,1483,1
5,5520,1
5,4528,1
5,1219,1
5,7312,1
5,3625,1
5,1572,1
5,1458,1
5,3058,1
5,3136,0
5,11988,0
5,2589,1
5,2027,1
5,1774,1
5,3443,1
5,1243,0
5,1884,1
5,3739,1
5,1009,1
5,4687,1
5,1831,1
5,1031,1
6,1630,1
6,1854,1
6,1125,1
6,2265,1
6,1791,1
6,911,1
6,1128,1
6,842,1
6,696,1
6,1003,1
6,841,1
6,2185,1
6,1529,1
6,1386,1
6,943,1
6,1942,1
6,1568,1
6,1331,1
6,1493,1
6,2775,1
6,1071,1
6,927,1
6,858,1
6,747,1
6,996,1
6,1156,1
6,1360,1
6,999,1
6,1061,1
6,1338,1
6,2140,1
6,665,1
6,961,1
6,1020,1
6,3732,1
6,656,1
7,6999,0
7,6269,1
7,3720,1
7,5976,1
7,6024,1
7,4884,1
7,8923,1
7,4722,0
7,7874,1
7,5494,0
7,5648,0
7,5287,1
7,3524,1
7,4932,1
7,6764,1
7,8281,0
7,7057,1
7,5543,0
7,7978,1
7,8983,0
7,5128,1
7,8004,1
7,5742,1
7,3739,1
7,4834,1
7,4955,0
7,5509,1
7,5559,1
7,3641,1
7,4967,1
7,2957,1
7,5211,1
7,4819,1
7,5766,1
7,4630,0
7,4327,1
7,4015,1
7,3208,0
8,1823,1
8,2631,1
8,7368,1
8,2616,0
8,2943,1
8,3391,1
8,1415,1
8,2552,1
8,2823,1
8,4335,0
8,4192,1
8,5688,0
8,1592,1
8,1383,1
8,2880,1
8,5928,1
8,4039,1
8,1912,1
8,2071,1
8,1432,1
8,2473,1
8,2447,1
8,5161,1
8,2817,1
8,1671,1
8,5952,1
8,4024,0
8,4400,1
8,1472,1
8,5152,1
8,1592,1
8,8959,1
8,4119,1
8,3841,1
8,1535,1
8,2585,1
9,2844,0
9,6016,1
9,5810,1
9,4137,1
9,14380,1
9,3755,1
9,5836,0
9,6771,1
9,2884,1
9,4017,1
9,4250,1
9,4880,1
9,6571,1
9,5935,1
9,3297,1
9,3832,1
9,3981,1
9,5647,0
9,9113,1
9,12643,1
9,5213,1
9,5589,1
9,6770,1
9,2174,1
9,7216,1
9,4879,1
9,6532,1
9,10617,1
9,9842,1
9,4945,1
9,6805,1
9,2394,1
9,3968,1
9,11562,1
9,2798,1
10,2726,1
10,1330,1
10,2232,1
10,1219,1
10,3525,1
10,9469,1
10,1798,1
10,1825,1
10,2085,1
10,1207,1
10,2212,1
10,2239,1
10,2240,1
10,2786,1
10,10650,1
10,1360,1
10,2087,1
10,3390,1
10,2397,1
10,1874,1
10,5379,1
10,4420,1
10,3403,1
10,5683,1
10,4948,1
10,10228,1
10,3398,1
10,2735,1
10,1727,1
10,2048,1
10,2371,1
10,2344,1
10,1951,1
10,3844,1
10,5912,1
10,7252,1
11,2455,1
11,11632,1
11,3910,1
11,1895,1
11,8519,1
11,1495,1
11,3399,1
11,12535,1
11,6222,1
11,3238,1
11,11234,1
11,2814,1
11,2871,0
11,15759,1
11,3023,1
11,3407,1
11,3991,1
11,4334,1
11,2183,1
11,2631,1
11,5495,0
11,6655,1
11,2711,1
11,2615,1
11,13959,1
11,1807,1
11,3406,1
11,2271,1
11,2479,1
11,2271,1
11,1505,1
11,7663,1
11,1679,1
11,1679,1
11,4582,1
12,27241,1
12,7973,1
12,20086,1
12,9885,1
12,7626,1
12,7794,1
12,10546,1
12,6288,1
12,5392,1
